ÿJerarquía de grupos,Región,Descripción,Servicio,Inicial,Mensual,Total de los primeros 12 meses,Divisa,Resumen de configuración;;;;;;;;;;;
"My Estimate,US East (N. Virginia),,Amazon EC2,0,668.438,8021.26,USD,""Sistema operativo (SUSE Linux Enterprise Server), Cantidad de almacenamiento (6 TB), DT Entrada: Internet (180 GB al mes), DT Salida: US East (Ohio) (180 GB al mes), DT Intra-región: (180 GB al mes), Workload (Consistent, Number of instances: 1), Frecuencia de instantáneas (Mensual), Cantidad cambiada por instantánea (120 GB), Instancia EC2 por adelantado (t4g.large), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)""";;;;;;;;;;;
"My Estimate,US East (N. Virginia),,Amazon Elastic Block Store (EBS),0,580.83,6969.96,USD,""Número de instancias (2), Duración promedio de la ejecución de cada instancia (720 horas al mes), Cantidad de almacenamiento (3 TB), Frecuencia de instantáneas (Mensual), Cantidad cambiada por instantánea (120 GB)""";;;;;;;;;;;
"My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,22.1,265.20,USD,""Cantidad de instancias EC2 (2), Número de EIP por instancia (2), Número de remapeos de EIP (2)""";;;;;;;;;;;
"My Estimate,US East (N. Virginia),,Amazon EC2,0,673.4749999999999,8081.70,USD,""Sistema operativo (Red Hat Enterprise Linux), Cantidad de almacenamiento (6 TB), DT Entrada: Internet (10 GB al mes), DT Salida: US East (Ohio) (180 GB al mes), DT Intra-región: (180 GB al mes), Workload (Consistent, Number of instances: 1), Frecuencia de instantáneas (Mensual), Cantidad cambiada por instantánea (120 GB), Instancia EC2 por adelantado (x2gd.medium), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)""";;;;;;;;;;;
"My Estimate,US East (N. Virginia),,AWS Storage Gateway,0,25.880000000000003,310.56,USD,""DT Entrada: Internet (180 GB al mes), DT Salida: US East (Ohio) (180 GB al mes), DT Intra-región: (180 GB al mes), Costo por transferencia de datos (5.4), Datos escritos por su gateway en el almacenamiento de archivos de AWS (2 TB per mes)""";;;;;;;;;;;
;;;;;;;;;;;
Total al año;23.648,68;;25.785,64;;Gamelift (linux);44,53;86,51;16,99;30,05;178,08;2136,96
;;;;;;;;;;;
Reconocimiento;;;;;;;;;;;
* La Calculadora de precios de AWS proporciona únicamente una estimación de sus tarifas de AWS y no incluye los impuestos que puedan aplicarse. El valor real de sus tarifas depende de una serie de factores, entre los que se incluye su uso real de AWS.;;;;;;;;;;;
